Link,Status
https://www.foxnews.com/media/harvard-board-stands-embattled-president-claudine-gay-admits-inadequate-citation-writings,200
https://www.foxnews.com/media/harvard-antisemitism-task-force-co-chair-resigns-another-group-setback.amp,200
https://www.foxnews.com/category/us/military/honors/pearl-harbor,200
https://www.foxnews.com/video/6360989725112,200
https://www.foxnews.com/politics/biden-dodges-answering-whether-hed-take-neurological-test-no-one-said-i-had-to.amp,200
https://www.foxnews.com/video/6342816673112,200
https://www.foxnews.com/video/topics/person/donald-trump,200
https://www.foxnews.com/politics/nc-gubernatorial-candidate-mark-robinson-hires-trump-friendly-lawyer-investigate-porn-website-allegations.amp,200
https://www.foxnews.com/politics/harvard-president-claudine-gay-remain-post.amp,200
https://www.foxnews.com/media/the-view-knocks-clarence-thomas-high-tech-lynching-remark-race,200
https://www.foxnews.com/video/topics/shows/gutfeld,200
https://www.foxnews.com/media/hunter-biden-laptop-re-emerges-media-embarrassment-becomes-key-evidence-gun-trial,200
https://www.foxnews.com/category/politics/state-and-local,200
https://www.foxnews.com/media/former-employee-suing-narcissistic-mayor-claims-she-locked-outoffice-denied-pay-fired,200
https://www.foxnews.com/video/6350170702112,200
https://www.foxnews.com/video/6362726801112,200
https://www.foxnews.com/us/former-chicago-mayor-lori-lightfoot-hired-investigate-controversial-mayor-dolton-400-hour.amp,200
https://www.foxnews.com/video/6352806160112,200
https://www.foxnews.com/politics/biden-campaign-launches-50m-paid-media-blitz-despite-mounting-pressure-president-drop-out,200
https://www.foxnews.com/video/6352808179112,200
https://www.foxnews.com/video/6352810335112,200
https://www.foxnews.com/video/6355357090112,200
https://www.foxnews.com/video/6341258012112,200
https://www.foxnews.com/media/msnbc-contributor-trump-appeals-men-retro-macho-views-emhoff-embodies-supportive-men,200
https://www.foxnews.com/media/four-celebrities-have-rejected-conservative-fans-i-have-no-respect-you,200
https://www.foxnews.com/video/topics/us/immigration/illegal-immigrants,200
https://www.foxnews.com/media/california-bill-pushes-schools-less-homework-mitigate-student-mental-health-crisis,200
https://www.foxnews.com/video/6341275878112,200
https://www.foxnews.com/video/6341276634112,200
https://www.foxnews.com/video/6341278547112,200
https://www.foxnews.com/media/billionaire-harvard-alum-accuses-university-discriminating-white-males-conservatives,200
https://www.foxnews.com/media/harvard-board-stands-embattled-president-claudine-gay-admits-inadequate-citation-writings.amp,200
https://www.foxnews.com/us/world-war-ii-veteran-103-returns-pearl-harbor-82-years-japans-attack-honor-fallen-comrades,200
https://www.foxnews.com/media/snl-mocking-stefanik-instead-college-presidents-complete-breakdown-comedy,200
https://www.foxnews.com/media/harvard-student-pans-president-effort-clean-up-statements-on-jewish-genocide,200
https://www.foxnews.com/video/6362652208112,200
https://www.foxnews.com/video/6362676297112,200
https://www.foxnews.com/video/6362680192112,200
https://www.foxnews.com/video/topics/shows/fox-friends-weekend,200
https://www.foxnews.com/video/6362651334112,200
https://www.foxnews.com/video/6361860526112,200
https://www.foxnews.com/video/6361904173112,200
https://www.foxnews.com/lifestyle/jack-carrs-take-uncommon-valor-which-premiered-day-december-16-1983-semper-fidelis,200
https://www.foxnews.com/video/topics/person/joe-biden,200
https://www.foxnews.com/video/topics/us/immigration/border-security,200
https://www.foxnews.com/media/former-employee-suing-narcissistic-mayor-claims-she-locked-outoffice-denied-pay-fired.amp,200
https://www.foxnews.com/media/controversial-mayor-posts-video-biden-days-ripping-colleagues-attacking-black-woman,200
https://www.foxnews.com/video/topics/person/kamala-harris,200
https://www.foxnews.com/media/hollywood-megadonor-ari-emanuel-torches-biden-says-donors-moving-money-downballot,200
https://www.foxnews.com/politics/biden-campaign-launches-50m-paid-media-blitz-despite-mounting-pressure-president-drop-out.amp,200
https://www.foxnews.com/video/topics/politics/senate/republicans,200
https://www.foxnews.com/politics/new-poll-indicates-whether-harris-trump-making-gains-younger-voters,200
https://www.foxnews.com/video/6356634379112,200
https://www.foxnews.com/politics/democratic-donors-unsure-biden-campaign-can-continue-reports,200
https://www.foxnews.com/politics/biden-campaign-launches-50m-paid-media-blitz-despite-mounting-pressure-president-drop-out.print,200
https://www.foxnews.com/category/politics/elections/presidential,200
https://www.foxnews.com/video/6326317438112,200
https://www.foxnews.com/media/california-bill-pushes-schools-less-homework-mitigate-student-mental-health-crisis.amp,200
https://www.foxnews.com/entertainment/pink-tells-supporters-scotus-abortion-decision-never-listen-music?intcmp=tw_fnc,200
https://www.foxnews.com/category/us/san-francisco,200
https://www.foxnews.com/media/reacher-star-gets-political-again-decries-entire-platform-those-mostly-claim-christians,200
https://www.foxnews.com/person/t/christian-toto,200
https://www.foxnews.com/media/billionaire-harvard-alum-accuses-university-discriminating-white-males-conservatives.amp,200
https://www.foxnews.com/media/california-bill-seeks-provide-reparations-families-displaced-land-dodgers-stadium,200
https://www.foxnews.com/video/topics/person/tulsi-gabbard,200
