Link,Size (KB),# of Outlinks,Content Type
https://www.foxnews.com/media/harvard-student-pans-president-effort-clean-up-statements-on-jewish-genocide,250.4072265625,332,text/html
https://www.foxnews.com/video/6362652208112,68.873046875,71,text/html
https://www.foxnews.com/video/6362676297112,68.4404296875,68,text/html
https://www.foxnews.com/video/6362680192112,73.18359375,73,text/html
https://www.foxnews.com/video/topics/shows/fox-friends-weekend,342.4013671875,114,text/html
https://www.foxnews.com/video/6362651334112,68.626953125,72,text/html
https://www.foxnews.com/video/6361860526112,73.720703125,72,text/html
https://www.foxnews.com/video/6361904173112,74.8974609375,73,text/html
https://www.foxnews.com/lifestyle/jack-carrs-take-uncommon-valor-which-premiered-day-december-16-1983-semper-fidelis,253.2021484375,349,text/html
https://www.foxnews.com/video/topics/person/joe-biden,326.89453125,114,text/html
https://www.foxnews.com/video/topics/us/immigration/border-security,324.265625,114,text/html
https://www.foxnews.com/media/former-employee-suing-narcissistic-mayor-claims-she-locked-outoffice-denied-pay-fired.amp,160.474609375,270,text/html
https://www.foxnews.com/media/controversial-mayor-posts-video-biden-days-ripping-colleagues-attacking-black-woman,226.4296875,327,text/html
https://www.foxnews.com/video/topics/person/kamala-harris,300.4697265625,114,text/html
https://www.foxnews.com/media/hollywood-megadonor-ari-emanuel-torches-biden-says-donors-moving-money-downballot,238.63671875,330,text/html
https://www.foxnews.com/politics/biden-campaign-launches-50m-paid-media-blitz-despite-mounting-pressure-president-drop-out.amp,164.048828125,273,text/html
https://www.foxnews.com/video/topics/politics/senate/republicans,320.1748046875,114,text/html
https://www.foxnews.com/politics/new-poll-indicates-whether-harris-trump-making-gains-younger-voters,246.8330078125,345,text/html
https://www.foxnews.com/video/6356634379112,74.3447265625,72,text/html
https://www.foxnews.com/politics/democratic-donors-unsure-biden-campaign-can-continue-reports,238.609375,334,text/html
https://www.foxnews.com/politics/biden-campaign-launches-50m-paid-media-blitz-despite-mounting-pressure-president-drop-out.print,52.4189453125,77,text/html
https://www.foxnews.com/category/politics/elections/presidential,120.6689453125,351,text/html
https://www.foxnews.com/video/6326317438112,71.978515625,71,text/html
https://www.foxnews.com/media/california-bill-pushes-schools-less-homework-mitigate-student-mental-health-crisis.amp,159.94140625,272,text/html
https://www.foxnews.com/entertainment/pink-tells-supporters-scotus-abortion-decision-never-listen-music?intcmp=tw_fnc,238.2021484375,345,text/html
https://www.foxnews.com/category/us/san-francisco,120.548828125,351,text/html
https://www.foxnews.com/media/reacher-star-gets-political-again-decries-entire-platform-those-mostly-claim-christians,230.171875,326,text/html
https://www.foxnews.com/person/t/christian-toto,107.0849609375,316,text/html
https://www.foxnews.com/media/billionaire-harvard-alum-accuses-university-discriminating-white-males-conservatives.amp,165.8955078125,271,text/html
https://www.foxnews.com/media/california-bill-seeks-provide-reparations-families-displaced-land-dodgers-stadium,232.658203125,331,text/html
https://www.foxnews.com/video/topics/person/tulsi-gabbard,316.123046875,114,text/html
https://www.foxnews.com/world/poland-implements-new-rules-against-homework-sparking-mixed-reactions-students-parents,223.7265625,323,text/html
https://www.foxnews.com/politics/paris-hilton-backs-california-bill-bring-transparency-youth-treatment-facilities,219.453125,332,text/html
https://www.foxnews.com/video/topics/us/us-regions/northeast/pennsylvania,269.2685546875,114,text/html
https://www.foxnews.com/video/topics/topic/border-wall,309.2412109375,114,text/html
https://www.foxnews.com/category/us/education/diversity,119.587890625,351,text/html
https://www.foxnews.com/media/university-presidents-harvard-mit-testify-before-congress-raging-antisemitism-campuses,223.9931640625,328,text/html
https://www.foxnews.com/video/6362301252112,76.34375,72,text/html
https://www.foxnews.com/video/6362284864112,76.220703125,71,text/html
